title,summery,news
ورمزیار: حال استقلال خوب نیست و فصل سختی خواهد داشت/ هوادار با نتیجه گرفتن همراه تیم می‌شود, پیشکسوت تیم فوتبال استقلال معتقد است مشکلات آبی‌پوشان باعث جذب بازیکنان معمولی شده و کمبود امکانات در حال رقم زدن سخت‌ترین سال فوتبالی برای این تیم شده است. ,صادق ورمزیار در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره وضعیت استقلال پیش از آغاز فصل بیست‌وسوم لیگ برتر، اظهار داشت: وضعیت این روزهای استقلال خیلی جالب نیست و نکونام روزهای سختی را می‌گذراند. او این روزها قاعدتاً باید پازل تاکتیکی خود را بچیند و تیم را کامل کند، اما تیم ورودی خیلی کمی دارد. بعضی بازیکنانی که جذب می‌شوند در حد و اندازه استقلالِ مدعی کسب عنوان قهرمانی نیستند. در واقع با این ترکیب نمی‌توان انتظار کسب قهرمانی داشت و در کل می‌شود گفت حال استقلال خوب نیست.وی افزود: یادمان باشد وقتی می‌گوییم یک تیم بزرگ است باید در همه چیز بزرگ باشد. این موضوع از مدیریت باشگاه شروع می‌شود و تا تدارکات ادامه پیدا می‌کند. همه چیز باید سر جای خودش باشد و نفرات انتخاب شده بزرگ باشند، اما بازیکنانی که ما می‌بینیم معمولی هستند. استقلال با توجه به مشکلاتی که دارد تا به حال به شکل معمولی بسته شده است. البته با قاطعیت این را نمی‌گویم، چرا که شاید بازیکنان بزرگ و تأثیرگذاری در آینده جذب شوند و شرایط تیم تغییر کند، اما در حال حاضر شرایط و حال استقلال خوب نیست.پیشکسوت باشگاه استقلال در مورد اینکه آیا آبی‌پوشان با شرایط فعلی می‌توانند در جایگاهی بهتر از پنجم یا ششم قرار بگیرند، گفت: معمولاً استقلال و پرسپولیس در رده‌بندی جدول از جایگاه اول تا چهارم قرار می‌گیرند، اما تفاوت این رتبه‌ها را بازیکنان تأثیرگذار رقم می‌زنند. بازیکن تأثیرگذار به این معنا که امکان تغییر نتیجه را داشته باشند. امیدوارم بازیکنان خارجی یا جدیدی که در استقلال جذب می‌شوند، تأثیرگذار باشند.ورمزیار در پاسخ به این پرسش که چرا استقلال باید بدون مربی بدنساز کار خود را دنبال کند، تصریح کرد: در ابتدای صحبتم گفتم که نکونام با یکسری مشکلات در استقلال مواجه است و شرایط سختی دارد. در واقع دست سرمربی استقلال از حیث امکانات و بعضی مسائل بسته است. با این شرایط امسال یکی از سخت‌ترین سال‌های استقلال است. امیدوارم جوری تیم جمع و مدیریت شود که شاهد این مشکلات نباشیم. آرزو می‌کنم حداقل بازیکنان خارجی که شرایط حضور در تیم را دارند، جذب شوند.وی در واکنش به نارضایتی هواداران استقلال از شرایط موجود، خاطر نشان کرد: تا زمانی که تیم نتیجه قابل قبول نگیرد هواداران همراه تیم نخواهند شد. آنها از همین الان شاهد هستند که امکانات مدنظر در اختیار استقلال نیست. این موارد به مدیریت باشگاه باز می‌گردد. در این برهه از فصل و با توجه به بروز مشکلات اخیر، خطیر باید آنها را حل کند. اگر در توانش هست باید مسائل و چالش‌ها را حل کند و اگر نیست چرا مدیریت تیم را قبول کرده است؟ اگر تیم به مسیر خوبش بازگردد قطعاً همه هواداران و پیشکسوتان بابت عملکرد مدیر باشگاه، حامی وی خواهند شد.پیشکسوت استقلال درباره برکناری حسین قربان‌زاده از ریاست سازمان خصوصی‌سازی و چالش‌هایی که او با هواداران استقلال داشت، تصریح کرد: قربان‌زاده را آدم صادق و سالمی می‌بینم که چون ورزشی نبود و به این موضوع اشرافی نداشت زمان بدی را برای مناظره با مدیریت وقت باشگاه استقلال انتخاب کرد. بعد از آن مناظره تقریباً شرایط استقلال تغییر کرد و از مسیر قهرمانی دور شد. بنابراین آن مناظره به مذاق هواداران خوش نیامد، اما قربان‌زاده بر حسب وظایفش باید مواردی را به مراجع ذیصلاح گزارش می‌کرد و بررسی شرایط مالی مطابق شرح وظایفش بود. به نظرم صداوسیما و نفراتی که از شرایط ورزشی آگاهی بهتری داشتند نباید اجازه برگزاری مناظره مدیریتی را در آن شرایط می‌دادند. در آن مقطع استقلال در مسیر قهرمانی حضور داشت، اما بعد از مناظره اوضاع آبی‌ها تغییر کرد و باعث ناراحتی هواداران شد.انتهای پیام/
نکونام: هواداران عزیز، نمی‌توانم تنها با همه چیز بجنگم/ استقلال بازیچه شده است + عکس, سرمربی تیم فوتبال استقلال در صفحه شخصی‌اش بار دیگر به شرایط بحرانی آبی‌پوشان اشاره کرد و گفت این تیم بازیچه شده است. ,به گزارش خبرگزاری تسنیم، جواد نکونام سرمربی تیم فوتبال استقلال که هفته گذشته گفته بود خبرهای خوبی در انتظار این تیم است، امروز (یکشنبه) در صفحه شخصی‌اش با انتشار یک استوری نوشت: «هواداران عزیز استقلال، من نمی‌توانم تنها با همه چیز بجنگم. بیچاره استقلال و هوادارانش، بیچاره این باشگاهی که شده بازیچه».انتهای پیام/
قایدی رسماً شاگرد مجیدی شد + عکس, وینگر فصل گذشته تیم فوتبال استقلال با امضای قراردادی به اتحاد کلباء امارات پیوست. ,به گزارش خبرگزاری تسنیم، جواد نکونام سرمربی تیم فوتبال استقلال که هفته گذشته گفته بود خبرهای خوبی در انتظار این تیم است، امروز (یکشنبه) در صفحه شخصی‌اش با انتشار یک استوری نوشت: «هواداران عزیز استقلال، من نمی‌توانم تنها با همه چیز بجنگم. بیچاره استقلال و هوادارانش، بیچاره این باشگاهی که شده بازیچه».انتهای پیام/
سازمان لیگ: تعداد پرونده‌های استقلال و پرسپولیس کمتر از سال‌های قبل است/ پنجره صنعت نفت باز شد, مسئول نقل‌و‌انتقالات سازمان لیگ فوتبال اعلام کرد تعداد پرونده‌های استقلال و پرسپولیس نسبت به سال‌های قبل بسیار کمتر شده است. ,به گزارش خبرگزاری تسنیم، جواد نکونام سرمربی تیم فوتبال استقلال که هفته گذشته گفته بود خبرهای خوبی در انتظار این تیم است، امروز (یکشنبه) در صفحه شخصی‌اش با انتشار یک استوری نوشت: «هواداران عزیز استقلال، من نمی‌توانم تنها با همه چیز بجنگم. بیچاره استقلال و هوادارانش، بیچاره این باشگاهی که شده بازیچه».انتهای پیام/
برنامه 5 هفته نخست لیگ برتر فوتبال اعلام شد/ رونمایی از زمان دربی 102, زمان برگزاری صدودومین تقابل استقلال و پرسپولیس مشخص شد. ,به گزارش خبرگزاری تسنیم، جواد نکونام سرمربی تیم فوتبال استقلال که هفته گذشته گفته بود خبرهای خوبی در انتظار این تیم است، امروز (یکشنبه) در صفحه شخصی‌اش با انتشار یک استوری نوشت: «هواداران عزیز استقلال، من نمی‌توانم تنها با همه چیز بجنگم. بیچاره استقلال و هوادارانش، بیچاره این باشگاهی که شده بازیچه».انتهای پیام/
رکورد بی‌نظیر آقای خاص کاراته ایران, تیم ملی کومیته تیمی کاراته در حالی با شکست قزاقستان به نهمین عنوان قهرمانی خود در آسیا دست یافت که با هدایت شهرام هروی پنج دوره قهرمان شده است. ,
تورنمنت فوتبال ساحلی سن‌پترزبورگ| شکست ساحلی‌بازان ایران مقابل میزبان, تیم فوتبال ساحلی کشورمان در آخرین دیدار از تورنمنت چهارجانبه سن‌پترزبورگ مقابل روسیه شکست خورد. ,به گزارش خبرگزاری تسنیم، تیم ملی فوتبال ساحلی ایران از ساعت 15:30 امروز (یکشنبه) در سومین دیدار خود در تورنمنت سن‌پترزبورگ به مصاف تیم ملی روسیه رفت که در پایان این دیدار ساحلی‌بازان کشورمان با نتیجه 4 بر 3 مغلوب روسیه شدند. سه گل ساحلی‌بازان ایران را سیدمهدی میرجلیلی، محمدعلی مختاری و محمد معصومی‌زاده به ثمر رساندند.تیم فوتبال ساحلی کشورمان در دو دیدار قبلی خود در این تورنمنت با نتایج 5 بر یک و 10 بر صفر به ترتیب سنگال و امارات را شکست داده بود و با شکست مقابل روسیه عنوان دوم این تورنمنت را به دست آورد.انتهای پیام/
عالمی: بازیکنان در بحث قراردادها مقصر نیستند/ درد باشگاه استقلال باید درمان شود, پیشکسوت باشگاه استقلال خواهان درمان شدن درد این باشگاه شد تا آبی‌پوشان در آینده شرایط بهتری داشته باشند. ,ایمان عالمی در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره مشکلات تیم فوتبال استقلال در آستانه شروع مسابقات لیگ برتر فوتبال، اظهار داشت: همه می‌دانند استقلال در سال‌های اخیر مشکلات مدیریتی داشته است. حق طبیعی هواداران است که تیم‌شان بتواند پیش از آغاز فصل شرایط خوبی برای یارگیری و آماده‌سازی داشته باشد، اما همیشه در این مقطع فصل، تغییرات مدیریتی اتفاق می‌افتد که روی روند تیم تأثیرگذار می‌شود. باید این درد درمان شود تا هر سال بدتر شود.«باشگاه استقلال شرایط خوبی ندارد و نتوانسته است بازیکنان مدنظر سرمربی را جذب کند.»، وی با بیان این جمله افزود: علی خطیر به تازگی آمده است و می‌خواهد مشکلات را مدیریت کند. تا جایی که می‌دانم استقلال 600 میلیارد تومان بدهی دارد و وضعیت این تیم سخت و دشوار است. تجربه‌ام به من می‌گوید شرایط استقلال خوب پیش نمی‌رود و اگر مسابقات شروع شود این روند باز هم ادامه خواهد داشت. نبود بازیکن و مشکلات مالی اجازه نمی‌دهد استقلال آنطور که باید و شاید عملکرد موفقی داشته باشد.پیشکسوت باشگاه استقلال در مورد بحث کاهش قرارداد بازیکنان استقلال گفت: بازیکنان قرارداد حرفه‌ای می‌بندند. مدیری تصمیم گرفت که این مدلی قرارداد ببندد و حالا که بحث کاهش قرارداد مطرح شده است، بازیکنان مقصر نیستند، ولی به خاطر شرایط باشگاه، دو طرف باید تصمیم درستی بگیرند. حق بازیکن است که باشگاه به تعهداتش در قبال او عمل کند. این وسط یکسری‌ها وارد می‌شوند و بین مدیرعامل و بازیکن قرار می‌گیرند که دودش به چشم دو طرف می‌رود. بازیکن قراردادش را حرفه‌ای امضا کرده و تصمیم با خودش است، ولی در مجموع باید کمک کنند که این مرحله طی شود.انتهای پیام/
بررسی استعفای صیامی در مجمع فوق‌العاده فدراسیون دوومیدانی/ خزایی: وزارت ورزش زمان‌بندی را انجام داد, دبیر فدراسیون دوومیدانی اعلام کرد که مجمع فوق‌العاده فدراسیون با دستور جلسه بررسی استعفای هاشم صیامی برگزار خواهد شد. ,ایمان عالمی در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره مشکلات تیم فوتبال استقلال در آستانه شروع مسابقات لیگ برتر فوتبال، اظهار داشت: همه می‌دانند استقلال در سال‌های اخیر مشکلات مدیریتی داشته است. حق طبیعی هواداران است که تیم‌شان بتواند پیش از آغاز فصل شرایط خوبی برای یارگیری و آماده‌سازی داشته باشد، اما همیشه در این مقطع فصل، تغییرات مدیریتی اتفاق می‌افتد که روی روند تیم تأثیرگذار می‌شود. باید این درد درمان شود تا هر سال بدتر شود.«باشگاه استقلال شرایط خوبی ندارد و نتوانسته است بازیکنان مدنظر سرمربی را جذب کند.»، وی با بیان این جمله افزود: علی خطیر به تازگی آمده است و می‌خواهد مشکلات را مدیریت کند. تا جایی که می‌دانم استقلال 600 میلیارد تومان بدهی دارد و وضعیت این تیم سخت و دشوار است. تجربه‌ام به من می‌گوید شرایط استقلال خوب پیش نمی‌رود و اگر مسابقات شروع شود این روند باز هم ادامه خواهد داشت. نبود بازیکن و مشکلات مالی اجازه نمی‌دهد استقلال آنطور که باید و شاید عملکرد موفقی داشته باشد.پیشکسوت باشگاه استقلال در مورد بحث کاهش قرارداد بازیکنان استقلال گفت: بازیکنان قرارداد حرفه‌ای می‌بندند. مدیری تصمیم گرفت که این مدلی قرارداد ببندد و حالا که بحث کاهش قرارداد مطرح شده است، بازیکنان مقصر نیستند، ولی به خاطر شرایط باشگاه، دو طرف باید تصمیم درستی بگیرند. حق بازیکن است که باشگاه به تعهداتش در قبال او عمل کند. این وسط یکسری‌ها وارد می‌شوند و بین مدیرعامل و بازیکن قرار می‌گیرند که دودش به چشم دو طرف می‌رود. بازیکن قراردادش را حرفه‌ای امضا کرده و تصمیم با خودش است، ولی در مجموع باید کمک کنند که این مرحله طی شود.انتهای پیام/
رقم مورد نظر پاری‌سن‌ژرمن برای فروش امباپه به رئال مادرید, رقم درخواستی باشگاه پاری‌سن‌ژرمن برای فروش مهاجم فرانسوی‌اش بسیار کمتر از آن چیزی است که در شروع بازار نقل و انتقالات عنوان شده بود. ,ایمان عالمی در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره مشکلات تیم فوتبال استقلال در آستانه شروع مسابقات لیگ برتر فوتبال، اظهار داشت: همه می‌دانند استقلال در سال‌های اخیر مشکلات مدیریتی داشته است. حق طبیعی هواداران است که تیم‌شان بتواند پیش از آغاز فصل شرایط خوبی برای یارگیری و آماده‌سازی داشته باشد، اما همیشه در این مقطع فصل، تغییرات مدیریتی اتفاق می‌افتد که روی روند تیم تأثیرگذار می‌شود. باید این درد درمان شود تا هر سال بدتر شود.«باشگاه استقلال شرایط خوبی ندارد و نتوانسته است بازیکنان مدنظر سرمربی را جذب کند.»، وی با بیان این جمله افزود: علی خطیر به تازگی آمده است و می‌خواهد مشکلات را مدیریت کند. تا جایی که می‌دانم استقلال 600 میلیارد تومان بدهی دارد و وضعیت این تیم سخت و دشوار است. تجربه‌ام به من می‌گوید شرایط استقلال خوب پیش نمی‌رود و اگر مسابقات شروع شود این روند باز هم ادامه خواهد داشت. نبود بازیکن و مشکلات مالی اجازه نمی‌دهد استقلال آنطور که باید و شاید عملکرد موفقی داشته باشد.پیشکسوت باشگاه استقلال در مورد بحث کاهش قرارداد بازیکنان استقلال گفت: بازیکنان قرارداد حرفه‌ای می‌بندند. مدیری تصمیم گرفت که این مدلی قرارداد ببندد و حالا که بحث کاهش قرارداد مطرح شده است، بازیکنان مقصر نیستند، ولی به خاطر شرایط باشگاه، دو طرف باید تصمیم درستی بگیرند. حق بازیکن است که باشگاه به تعهداتش در قبال او عمل کند. این وسط یکسری‌ها وارد می‌شوند و بین مدیرعامل و بازیکن قرار می‌گیرند که دودش به چشم دو طرف می‌رود. بازیکن قراردادش را حرفه‌ای امضا کرده و تصمیم با خودش است، ولی در مجموع باید کمک کنند که این مرحله طی شود.انتهای پیام/
